,id,year,prod,ce,fiscal,emp,fert,mach,pest,area,eco,water
1,1,2017,129.83,0.278259558,518.35,174.4440275,8.5,133.51,2726,120.94,267,5.1
2,2,2017,183.17,0.177389458,158.36,158.3689806,18,464.65,2353,439.52,64,10.7
3,3,2017,2890.6,0.119771555,782.91,2014.14384,322,7580.58,77623,8381.65,835,126.1
4,4,2017,861.89,0.044958406,477.91,940.0925578,112,1376.3,28831,3577.62,486,45.5
5,5,2017,1434.73,0.079628426,807.71,572.1525954,235,3483.55,35618,9014.22,542,138.1
6,6,2017,1620.48,0.153790641,459.23,845.4283927,145.5,2215.14,57474,4172.32,294,81.6
7,7,2017,895.83,0.084588872,554.77,701.3483427,231,3284.65,56294,6086.2,675,89.8
8,8,2017,3471.26,0.036714839,815.16,915.6823014,251.2,5813.76,83218,14767.59,270,316.4
9,9,2017,146.4,0.135315632,456.53,176.8255159,8.9,121.84,3523,284.95,21,16.7
10,10,2017,3764.73,0.112344753,918.22,1493.193246,303.9,4991.41,73167,7556.4,631,280.6
11,11,2017,1494.49,0.084167095,696.69,1077.623515,82.6,2072.27,46303,1981.11,372,80.9
12,12,2017,2241.42,0.107698362,681.91,1731.937461,318.7,6312.86,99394,8726.68,323,158.2
13,13,2017,1527,0.229460126,447.7,819.8273921,116.3,1232.42,52167,1549.34,286,91.2
14,14,2017,1489.29,0.192996017,607.71,1249.090682,135,2309.6,87737,5638.46,401,156.3
15,15,2017,4403.23,0.185340531,953.59,2348.147592,440,10144.05,140670,11107.79,536,134
16,16,2017,4552.68,0.179666267,916.81,2836.35272,706.7,10038.32,120713,14732.53,872,122.8
17,17,2017,2962.49,0.140312175,714.73,1430.083802,317.9,4335.09,109588,7956.14,494,148.1
18,18,2017,2597.63,0.212269801,782.42,1853.393371,245.3,6254.83,116023,8321.97,540,193.7
19,19,2017,2889.97,0.305749091,754.4,2004.617886,258.3,2410.77,112958,4227.51,467,220.3
20,20,2017,2538.87,0.19187311,646.87,1477.118199,263.8,3658.33,72495,5969.88,294,195.8
21,21,2017,707.42,0.198902331,198.42,231.5997498,51.4,569.8,33408,709.44,66,33.3
22,22,2017,1165.69,0.138056848,347.57,657.8861789,95.5,1352.6,17467,3339.56,224,25.4
23,23,2017,4004.2,0.214073768,1023.13,2432.095059,242,4420.3,55751,9575.05,1290,160.5
24,24,2017,2076.99,0.118563209,612.05,1150.258912,95.7,2181.43,13399,5659.37,472,58.9
25,25,2017,1982.52,0.137491176,674.82,1523.557223,231.9,3534.53,57675,6790.8,1125,108.5
26,26,2017,78.44,1.086030302,238.09,138.7217011,5.5,523.09,1076,254.05,NA,26.9
27,27,2017,2095.29,0.054699731,545.4,986.5315822,232.1,2242.51,13335,4063.88,805,58.2
28,28,2017,1068.61,0.080124566,520.79,838.2839275,84.5,2018.59,51995,3752.03,706,92.3
29,29,2017,162.38,0.634456139,233.12,167.2995622,8.7,462.35,1875,555.31,177,19.2
30,30,2017,308.96,0.079845154,222.39,170.8717949,40.8,605.38,2540,1132.63,15,56.7
31,31,2017,2313.24,0.086340846,612.49,737.0706692,250.7,2638.84,27670,5886.96,265,514.4
32,1,2016,145.2,0.292451664,443.55,174.1072011,9.7,144.45,3031,151.36,214,6
33,2,2016,181.89,0.179166331,161.02,158.6574153,21.4,469.99,3307,479.17,71,12
34,3,2016,2772.86,0.120352678,800.79,2072.05396,331.8,7401.97,81691,8716.64,800,128
35,4,2016,824.42,0.04402644,432.02,957.8867173,117.1,1744.26,30550,3720.81,453,46.7
36,5,2016,1477.56,0.076222246,729.02,581.1496337,234.6,3331.1,32339,7921.9,531,139.2
37,6,2016,1589.88,0.151566748,480.73,848.5497719,148.1,2168.45,56264,4064.1,298,84.9
38,7,2016,948.98,0.081656743,550.5,714.8497028,233.6,3105.26,58523,5676.32,671,91.1
39,8,2016,3189.71,0.03644379,801.77,921.0449205,252.8,5634.27,82474,12426.54,243,313.8
40,9,2016,146.58,0.15148525,327.41,174.1072011,9.2,122.31,3913,294.7,21,14.5
41,10,2016,3663.42,0.113532999,985.62,1534.282571,312.5,4906.55,76184,7676.92,471,270.8
42,11,2016,1455.29,0.095679749,722.41,1096.340567,84.5,2136.69,49482,2274.44,351,81
43,12,2016,2137.03,0.101730277,624.83,1767.217802,327,6867.49,105704,8893.61,283,158.6
44,13,2016,1474.49,0.245313824,410.58,837.8537664,123.8,1269.09,55387,2327.31,286,84.2
45,14,2016,1435.31,0.195785518,580.9,1279.955328,142,2201.62,92188,5560.67,411,154.2
46,15,2016,4387.51,0.181123443,943.44,2422.05103,456.5,9797.61,148640,10973.18,537,141.5
47,16,2016,4459.29,0.178391187,807.06,2917.038397,715,9854.95,127107,14472.32,876,125.6
48,17,2016,2794.79,0.141172559,704.59,1465.352757,328,4187.75,117401,7843.51,494,137
49,18,2016,2485.49,0.212543194,729.75,1915.179212,246.4,6097.54,118661,8793.28,523,195.1
50,19,2016,2763.79,0.297217751,715.44,2013.22593,261,2390.5,113652,4830.83,463,220.5
51,20,2016,2342.2,0.192410008,573.48,1492.686994,262.1,3527.26,85694,6145.31,284,198.3
52,21,2016,676.56,0.205579664,179.04,235.3121216,50.6,516.57,34028,823.26,54,33.1
53,22,2016,1123.83,0.135027706,347.99,677.4136835,96.2,1318.67,17604,3600.74,246,25.5
54,23,2016,3701.64,0.217185134,988.71,2493.357733,249,4267.33,58038,9728.61,1290,155.9
55,24,2016,1900.61,0.112869739,629.38,1179.531721,103.7,2041.06,13677,5596.81,397,56.4
56,25,2016,1888.83,0.137876502,712.92,1558.645695,235.6,3440.64,58601,7164.46,1002,105.2
57,26,2016,52.23,1.079937324,243.28,138.4538493,5.9,635.14,1091,257.9,NA,26.9
58,27,2016,1997.81,0.055685207,543.3,1011.960968,233.1,2171.9,13190,4276.92,926,57.6
59,28,2016,985.73,0.081075974,488.1,858.0573324,93.4,1903.9,69915,4253.84,719,94.7
60,29,2016,155.52,0.635925733,232.35,170.5418659,8.8,458.56,1939,561.33,177,19.9
